"","Microbiome","Taxon","beetroot","BetaVia","Carrot","Cellulose","Dryapple","Dryspinach","Ginger","Grdbeet","guar","HFSfiber","Jerusalem","kappa","Lemon","locust","MCfiber","Mushroom","Oat-B","Oat-C","Oat-PBV","Olive","Pomegranate","Psyllium","xanthan"
"1","K3","Fusobacterium",-87.523,-34.396,-105.464,-50.353,-52.142,-38.007,-30.604,-47.599,-72.759,-16.244,-29.195,-4.916,-6.096,-33.602,-66.594,-3.002,-92.969,-48.987,-109.455,-87.33,154.904,26.936,7.776
"2","K3","Bacillus",0.013,-0.007,-0.04,-0.013,-0.046,-0.018,-0.003,0,-0.066,-0.022,0,-0.013,-0.051,-0.066,-0.053,-0.01,-0.014,0.036,-0.013,-0.017,0.058,-0.02,-0.02
"3","K3","Bifidobacterium",0.018,0,0,0,-0.026,0,0,0,-0.04,0,0,0,0,-0.013,0,0,0,-0.002,0,0,0.005,0,-0.007
"4","K3","Faecalibacterium",-5.974,49.327,-14.559,29.729,-24.312,-20.878,37.723,-57.757,-4.792,6.533,7.926,-11.987,-19.686,13.081,19.833,6.366,-4.054,-2.939,-3.856,-5.465,-17.035,-15.741,-20.548
"5","K3","Blautia",-3.761,-4.35,-1.845,-1.396,-2.315,-2.827,-3.413,-3.087,-3.579,5.139,28.276,-3.904,-3.417,-0.236,-1.267,-0.149,-5.974,-0.901,-4.398,-2.589,-1.277,-2.817,-1.337
"6","K3","Lachnospiraceae UCG-010",-0.007,-0.007,0,0.002,0,-0.007,0,0,0,0,0,0.002,0,0,0,-0.053,0,0,0.002,0,0,0,0
"7","K3","Clostridium",0.198,8.914,-0.074,6.036,0.797,-0.122,0.259,-0.119,16.366,4.287,1.152,1.444,0.058,2.398,0.068,2.409,8.51,5.691,3.101,0.561,0,0.289,1.373
"8","K5","Fusobacterium",3.165,-26.914,50.139,-56.292,69.848,100.15,0.417,68.616,-88.351,-127.767,0.685,-18.743,65.384,-36.097,-52.54,32.84,15.924,1.462,35.398,54.441,88.08,143.305,-47.592
"9","K5","Bacillus",-0.013,0.007,0,-0.02,0.025,-0.018,-0.02,-0.031,-0.018,-0.152,0.002,-0.046,-0.063,-0.026,-0.059,0.018,-0.045,-0.027,-0.033,-0.026,-0.001,-0.018,0.091
"10","K5","Bifidobacterium",0.048,-0.106,3.404,0.007,0.076,7.761,0.333,0.561,-0.028,0.675,25.361,0.446,0.693,-0.162,7.419,-0.112,-0.05,-0.215,0.089,-0.459,-0.121,0.125,0.386
"11","K5","Faecalibacterium",-0.038,0.013,-0.026,-0.035,-0.017,0.043,-0.021,-0.053,0.061,0.043,-0.002,-0.041,0.017,-0.007,-0.043,0.071,0.061,0.072,0,0.021,0.01,-0.012,-0.056
"12","K5","Blautia",-0.046,-0.165,-0.29,0.114,-0.34,-0.066,0,-1.153,-0.14,0.228,0.2,-0.005,-0.061,-0.216,-0.165,0.543,0.056,0.131,-0.368,-0.104,-0.052,0.177,-0.19
"13","K5","Lachnospiraceae UCG-010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018
