"","Sample1","Sample2","Fs_value","p_value"
"1","Overall","",35.7391628049472,0.001
"2","beetroot powder","BetaVia Pure WD",45.8405764977752,0.001
"3","beetroot powder","carrot powder",0.0803847043455395,0.783
"4","BetaVia Pure WD","carrot powder",102.365836819849,0.001
"5","beetroot powder","Cellulose",24.9141525992812,0.001
"6","BetaVia Pure WD","Cellulose",17.3424757351505,0.002
"7","carrot powder","Cellulose",59.291257744212,0.001
"8","beetroot powder","dried apple pomace",0.56374606091295,0.472
"9","BetaVia Pure WD","dried apple pomace",188.849642609473,0.001
"10","carrot powder","dried apple pomace",0.372846039384608,0.526
"11","Cellulose","dried apple pomace",118.603756521904,0.001
"12","beetroot powder","dried spinich powder",0.355241710827309,0.535
"13","BetaVia Pure WD","dried spinich powder",122.106070036793,0.001
"14","carrot powder","dried spinich powder",0.175141034817194,0.664
"15","Cellulose","dried spinich powder",73.9790224971285,0.001
"16","dried apple pomace","dried spinich powder",0.0180640500030502,0.903
"17","beetroot powder","FBB16",3.83142318544107,0.056
"18","BetaVia Pure WD","FBB16",218.805668229267,0.005
"19","carrot powder","FBB16",7.44781017551374,0.012
"20","Cellulose","FBB16",193.527470820637,0.006
"21","dried apple pomace","FBB16",10.9842096350347,0.013
"22","dried spinich powder","FBB16",6.74992926833256,0.03
"23","beetroot powder","ginger powder",15.9437192306136,0.002
"24","BetaVia Pure WD","ginger powder",7.90861567115153,0.013
"25","carrot powder","ginger powder",29.2389792804506,0.001
"26","Cellulose","ginger powder",0.146151133710153,0.699
"27","dried apple pomace","ginger powder",45.05845197891,0.001
"28","dried spinich powder","ginger powder",33.7799139016213,0.001
"29","FBB16","ginger powder",35.8606658253237,0.002
"30","beetroot powder","Ground Beet Pulp",1.7619247634828,0.186
"31","BetaVia Pure WD","Ground Beet Pulp",117.449972700025,0.001
"32","carrot powder","Ground Beet Pulp",1.77276409128829,0.203
"33","Cellulose","Ground Beet Pulp",74.5702235501634,0.001
"34","dried apple pomace","Ground Beet Pulp",0.893017950447191,0.342
"35","dried spinich powder","Ground Beet Pulp",0.886508923735567,0.365
"36","FBB16","Ground Beet Pulp",2.48746052993512,0.09
"37","ginger powder","Ground Beet Pulp",40.788687161278,0.001
"38","beetroot powder","guar gum",5.44614960205345,0.026
"39","BetaVia Pure WD","guar gum",47.6303285578366,0.001
"40","carrot powder","guar gum",12.3598321698858,0.004
"41","Cellulose","guar gum",16.4634740336806,0.001
"42","dried apple pomace","guar gum",23.6091841365903,0.001
"43","dried spinich powder","guar gum",16.2598067796773,0.002
"44","FBB16","guar gum",34.062344329436,0.002
"45","ginger powder","guar gum",6.20402900360938,0.021
"46","Ground Beet Pulp","guar gum",22.1020001274204,0.001
"47","beetroot powder","HiSmooth flax seed fiber",12.72051160448,0.006
"48","BetaVia Pure WD","HiSmooth flax seed fiber",3.14726842938796,0.089
"49","carrot powder","HiSmooth flax seed fiber",19.7603779671634,0.001
"50","Cellulose","HiSmooth flax seed fiber",0.000440326869143799,0.985
"51","dried apple pomace","HiSmooth flax seed fiber",27.1214961851777,0.001
"52","dried spinich powder","HiSmooth flax seed fiber",21.8297390690579,0.001
"53","FBB16","HiSmooth flax seed fiber",17.7886901808282,0.003
"54","ginger powder","HiSmooth flax seed fiber",0.0465429694837139,0.838
