"","Beneficial","Harmful","Total","PPIa"
"BetaVia Pure WD",7250.85416666667,780.333333333333,8031.1875,0.805674233521921
"Cellulose",6980.79166666667,805.6875,7786.47916666667,0.793054734301714
"FBB0",2742.41666666667,1327.08333333333,4069.5,0.347790473850186
"FBB16",3672.66666666667,698.333333333333,4371,0.680469762830779
"Ground Beet Pulp",5754.97916666667,549.354166666667,6304.33333333333,0.825721725797071
"HiSmooth flax seed fiber",6934.36170212766,654.085106382979,7588.44680851064,0.827610281026308
"Jerusalum articohoke powder (inulin)",7101.85416666667,623.791666666667,7725.64583333333,0.838514040088342
"Micronized cassava fiber",6144.9375,457.583333333333,6602.52083333333,0.861391324651885
"Mushroom chitosan",7632.63829787234,940.808510638298,8573.44680851064,0.780529690881296
"Oat Bagasse hydrolysate-(B)",7147.10638297872,748.489361702128,7895.59574468085,0.810403322078293
"Oat Bagasse hydrolysate-(PBV)",6879.875,774,7653.875,0.797749505969199
"Oat Bagasse-Control",6713.46808510638,750.723404255319,7464.1914893617,0.798846692150038
"Olive Flour",7077.6170212766,700.148936170213,7777.76595744681,0.819961428512809
"Psyllium Husk",7404.3125,750.8125,8155.125,0.815867322695851
"beetroot powder",6086.60416666667,615.458333333333,6702.0625,0.816337632383066
"carrot powder",6257.9375,565.791666666667,6823.72916666667,0.834169366090756
"dried apple pomace",6078.33333333333,591.416666666667,6669.75,0.822657021127728
"dried spinich powder",6657.34042553191,848.531914893617,7505.87234042553,0.773901852733746
"ginger powder",7659.52083333333,788.458333333333,8447.97916666667,0.813338002431548
"guar gum",6306.29166666667,668.1875,6974.47916666667,0.808390710178478
"kappa carageenan ",6920.35416666667,902.041666666667,7822.39583333333,0.769369465343898
"lemon powder",6605.16666666667,682.395833333333,7287.5625,0.81272316132223
"locust bean gum",6218.79166666667,658.041666666667,6876.83333333333,0.808620731441313
"pomegranate powder",7894.46666666667,940.6,8835.06666666667,0.787075743627666
"xanthan gum",7350.8125,932.479166666667,8283.29166666667,0.774852992218271
